vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,20,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,34,0
Joe Biden,female,white,"25,000 to 49,999",highschool or less,31,0
Joe Biden,male,white,"less than 25,000",masters or above,32,0
Joe Biden,female,black/african american/negro,"100,000 to 149,999",bachelors degree,20,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,34,0
Joe Biden,female,"other race, nec","less than 25,000",bachelors degree,26,0
Joe Biden,female,white,"150,000 or more",associate degree,62,0
Donald Trump,male,white,"50,000 to 99,999",highschool or less,45,1
Joe Biden,female,other asian or pacific islander,"50,000 to 99,999",masters or above,39,0
Donald Trump,male,white,"less than 25,000",highschool or less,39,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,29,0
Joe Biden,male,black/african american/negro,"25,000 to 49,999",associate degree,68,0
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,46,0
Donald Trump,male,white,"less than 25,000",highschool or less,60,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,21,0
Joe Biden,male,white,"less than 25,000",bachelors degree,20,0
Joe Biden,female,white,"less than 25,000",bachelors degree,62,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,18,1
Donald Trump,male,white,"150,000 or more",bachelors degree,42,1
Donald Trump,female,"other race, nec","25,000 to 49,999",bachelors degree,29,1
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,84,1
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,45,1
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,26,0
Donald Trump,male,american indian or alaska native,"100,000 to 149,999",bachelors degree,30,1
Donald Trump,female,white,"less than 25,000",highschool or less,31,1
Joe Biden,female,"other race, nec","50,000 to 99,999",bachelors degree,29,0
Joe Biden,female,"other race, nec","25,000 to 49,999",highschool or less,39,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,66,0
Donald Trump,male,white,"25,000 to 49,999",associate degree,52,1
Donald Trump,male,white,"25,000 to 49,999",bachelors degree,72,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,62,1
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,25,1
Donald Trump,male,white,"less than 25,000",highschool or less,64,1
Donald Trump,male,white,"150,000 or more",masters or above,35,1
Joe Biden,female,"other race, nec","25,000 to 49,999",highschool or less,29,0
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,31,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,73,0
Donald Trump,male,white,"less than 25,000",associate degree,42,1
Donald Trump,male,white,"150,000 or more",bachelors degree,51,1
Joe Biden,female,white,"less than 25,000",associate degree,34,0
Joe Biden,male,white,"50,000 to 99,999",associate degree,72,0
Donald Trump,male,white,"25,000 to 49,999",masters or above,71,1
Donald Trump,male,white,"less than 25,000",highschool or less,40,1
Donald Trump,male,white,"less than 25,000",highschool or less,20,1
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,68,1
Joe Biden,male,black/african american/negro,"less than 25,000",associate degree,22,0
